web_scraper_order,web_scraper_start_url,data,price,data2,data3,data4,data5,data6,photo
"1789824420-1","https://www.bricoma.ma/jardinage-pein-air/parasols-et-voiles-d-ombrage.html","KIT FIXATION VOILE D’OMBRAGE – 6 PIÈCES AVEC VIS – INOX 304","79,00 MAD","Voir produit","HOME DECO","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/k/i/kit_fixation_voile_d_ombrage_6_pi_ces_avec_vis_1.png"
"1789824420-2","https://www.bricoma.ma/jardinage-pein-air/parasols-et-voiles-d-ombrage.html","KIT FIXATION VOILE D’OMBRAGE – 8 PIÈCES AVEC VIS – INOX 304","99,00 MAD","Voir produit","HOME DECO","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/k/i/kit_fixation_voile_d_ombrage_8_pi_ces_avec_vis_inox_30_3.png"
"1789824420-3","https://www.bricoma.ma/jardinage-pein-air/parasols-et-voiles-d-ombrage.html","VOILE D'OMBRAGE 170G 3.6X3.6X3.6M BEIGE VES-6273","199,00 MAD","Voir produit","HOME DECO","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/1/2/129841_toile_ombrage_beige_png.jpg"
"1789824420-4","https://www.bricoma.ma/jardinage-pein-air/parasols-et-voiles-d-ombrage.html","VOILE D'OMBRAGE 170G 3.6X3.6M GREY VES-6274","349,00 MAD","Voir produit","HOME DECO","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/1/2/129842_voile_ombarge_gris_4_crochets_png.jpg"
"1789824420-5","https://www.bricoma.ma/jardinage-pein-air/parasols-et-voiles-d-ombrage.html","VOILE D'OMBRAGE 170G 3.6X3.6M BEIGE VES-6275","349,00 MAD","Voir produit","HOME DECO","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/1/2/129843_voile_ombrage_beige_4_png.jpg"
"1789824420-6","https://www.bricoma.ma/jardinage-pein-air/parasols-et-voiles-d-ombrage.html","VOILE D'OMBRAGE 170G 3X4M GREY VES-6276","399,00 MAD","Voir produit","HOME DECO","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/1/2/129844_voile_ombrage_gris_3x4m_png.jpg"
"1789824420-7","https://www.bricoma.ma/jardinage-pein-air/parasols-et-voiles-d-ombrage.html","VOILE D'OMBRAGE 170G 3X4M BEIGE","399,00 MAD","Voir produit","HOME DECO","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/1/2/129845_voile_ombrage_3_x4_m_png.jpg"
"1789824420-8","https://www.bricoma.ma/jardinage-pein-air/parasols-et-voiles-d-ombrage.html","VOILE D'OMBRAGE 170G 3.6X3.6X3.6M GRIS","199,00 MAD","Voir produit","HOME DECO","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/v/o/voile_ombrage_gris_1_1.jpg"
"1789824643-1","https://www.bricoma.ma/jardinage-pein-air/decoration-jardin.html","ROULEAU MOUSTIQUAIRE 1X3 BLANC 174521","145,00 MAD","Voir produit","","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/0/1/010731.jpg"
"1789824643-2","https://www.bricoma.ma/jardinage-pein-air/decoration-jardin.html","CROISIPLAST TREILLAGE PLASTIQUE BLANC","225,00 MAD","Voir produit","","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/0/1/010721_mdf.jpg"
