Original URL,Canonical URL,HTTP Status,Reason,Backlinks Impact,Internal Links Updated
/,https://orsap.ma/,200,Homepage Canonical,Preserved,Yes
/a-propos,https://orsap.ma/a-propos,200,About Page,Preserved,Yes
/solutions,https://orsap.ma/solutions,200,Solutions Catalog Hub,Preserved,Yes
/solutions/epi,https://orsap.ma/solutions/epi,200,EPI Main Category,Preserved,Yes
/solutions/epi/casques,https://orsap.ma/solutions/epi/casques,200,Safety Helmets Solution,Preserved,Yes
/solutions/epi/chaussures-securite,https://orsap.ma/solutions/epi/chaussures-securite,200,Safety Shoes Solution,Preserved,Yes
/solutions/epi/gants,https://orsap.ma/solutions/epi/gants,200,Protection Gloves,Preserved,Yes
/solutions/epi/gants/anti-coupure,https://orsap.ma/solutions/epi/gants/anti-coupure,200,Anti-cut Gloves,Preserved,Yes
/solutions/epi/gants/manutention,https://orsap.ma/solutions/epi/gants/manutention,200,Handling Gloves,Preserved,Yes
/solutions/epi/protection-auditive,https://orsap.ma/solutions/epi/protection-auditive,200,Hearing Protection,Preserved,Yes
/solutions/epi/protection-respiratoire,https://orsap.ma/solutions/epi/protection-respiratoire,200,Respiratory Protection,Preserved,Yes
/solutions/epi/protection-yeux,https://orsap.ma/solutions/epi/protection-yeux,200,Eye Protection,Preserved,Yes
/solutions/epi/btp,https://orsap.ma/solutions/epi/btp,200,Construction EPI Hub,Preserved,Yes
/solutions/travail-en-hauteur,https://orsap.ma/solutions/travail-en-hauteur,200,Height Safety Hub,Preserved,Yes
/solutions/travail-en-hauteur/harnais,https://orsap.ma/solutions/travail-en-hauteur/harnais,200,Fall Arrest Harness,Preserved,Yes
/solutions/travail-en-hauteur/ancrages,https://orsap.ma/solutions/travail-en-hauteur/ancrages,200,Anchor Points,Preserved,Yes
/solutions/travail-en-hauteur/lignes-de-vie,https://orsap.ma/solutions/travail-en-hauteur/lignes-de-vie,200,Lifelines,Preserved,Yes
/solutions/travail-en-hauteur/longes,https://orsap.ma/solutions/travail-en-hauteur/longes,200,Lanyards & Retractors,Preserved,Yes
/solutions/vetements-professionnels,https://orsap.ma/solutions/vetements-professionnels,200,Workwear Category,Preserved,Yes
/solutions/vetements-professionnels/pantalons,https://orsap.ma/solutions/vetements-professionnels/pantalons,200,Work Pants,Preserved,Yes
/solutions/vetements-professionnels/ete,https://orsap.ma/solutions/vetements-professionnels/ete,200,Summer Breathable Workwear,Preserved,Yes
/solutions/vetements-professionnels/intemperies,https://orsap.ma/solutions/vetements-professionnels/intemperies,200,Weather Protection,Preserved,Yes
/solutions/vetements-professionnels/haute-visibilite,https://orsap.ma/solutions/vetements-professionnels/haute-visibilite,200,High Visibility Workwear,Preserved,Yes
/solutions/vetements-professionnels/multirisques,https://orsap.ma/solutions/vetements-professionnels/multirisques,200,Multi-risk ATEX,Preserved,Yes
/solutions/manutention,https://orsap.ma/solutions/manutention,200,Handling Equipment Hub,Preserved,Yes
/solutions/manutention/transpalettes,https://orsap.ma/solutions/manutention/transpalettes,200,Manual Pallet Trucks,Preserved,Yes
/solutions/manutention/transpalettes-electriques,https://orsap.ma/solutions/manutention/transpalettes-electriques,200,Electric Lithium Pallet Trucks,Preserved,Yes
/solutions/manutention/gerbeurs,https://orsap.ma/solutions/manutention/gerbeurs,200,Workshop Stackers,Preserved,Yes
/solutions/manutention/levage,https://orsap.ma/solutions/manutention/levage,200,Slings & Lifting,Preserved,Yes
/solutions/logistique,https://orsap.ma/solutions/logistique,200,Warehouse Solutions,Preserved,Yes
/solutions/outillage,https://orsap.ma/solutions/outillage,200,Industrial Tooling,Preserved,Yes
/solutions/roulements,https://orsap.ma/solutions/roulements,200,Bearings & Transmission,Preserved,Yes
